user_id,push_cnt,msg_type
u00000001,2,B
u00000002,2,B
u00000003,2,A
u00000004,0,None
u00000005,2,B
u00000006,1,B
u00000007,0,None
u00000008,1,A
u00000009,2,B
u00000010,0,None
u00000011,1,B
u00000012,1,B
u00000013,2,A
u00000014,0,None
u00000015,1,B
u00000016,0,None
u00000017,2,A
u00000018,1,B
u00000019,0,None
u00000020,0,None
u00000021,1,A
u00000022,0,None
u00000023,1,B
u00000024,1,B
u00000025,0,None
u00000026,2,A
u00000027,1,B
u00000028,2,A
u00000029,0,None
u00000030,0,None
u00000031,1,B
u00000032,2,A
u00000033,2,A
u00000034,0,None
u00000035,1,B
u00000036,0,None
u00000037,0,None
u00000038,0,None
u00000039,2,B
u00000040,0,None
u00000041,2,B
u00000042,1,A
u00000043,1,A
u00000044,0,None
u00000045,0,None
u00000046,1,A
u00000047,1,A
u00000048,2,A
u00000049,1,B
u00000050,2,A
u00000051,1,A
u00000052,1,A
u00000053,2,A
u00000054,1,A
u00000055,1,B
u00000056,2,A
u00000057,2,A
u00000058,1,A
u00000059,0,None
u00000060,2,B
u00000061,2,A
u00000062,2,A
u00000063,2,B
u00000064,1,B
u00000065,2,B
u00000066,2,A
u00000067,1,A
u00000068,1,B
u00000069,1,A
u00000070,1,A
u00000071,1,A
u00000072,1,A
u00000073,2,B
u00000074,1,B
u00000075,1,B
u00000076,0,None
u00000077,1,B
u00000078,1,A
u00000079,2,A
u00000080,2,A
u00000081,2,A
u00000082,1,A
u00000083,2,B
u00000084,1,B
u00000085,2,A
u00000086,2,B
u00000087,0,None
u00000088,2,B
u00000089,1,B
u00000090,1,A
u00000091,2,B
u00000092,0,None
u00000093,2,B
u00000094,2,A
u00000095,2,A
u00000096,2,A
u00000097,0,None
u00000098,1,B
u00000099,1,A
u00000100,1,B
u00000101,1,A
u00000102,2,A
u00000103,2,A
u00000104,0,None
u00000105,2,B
u00000106,2,A
u00000107,2,A
u00000108,1,B
u00000109,1,A
u00000110,2,A
u00000111,0,None
u00000112,0,None
u00000113,2,B
u00000114,2,B
u00000115,2,B
u00000116,2,B
u00000117,1,A
u00000118,2,B
u00000119,0,None
u00000120,2,A
u00000121,2,A
u00000122,1,B
u00000123,1,A
u00000124,2,B
u00000125,2,A
u00000126,1,B
u00000127,2,A
u00000128,1,A
u00000129,0,None
u00000130,0,None
u00000131,2,B
u00000132,1,B
u00000133,0,None
u00000134,0,None
u00000135,2,A
u00000136,1,A
u00000137,1,B
u00000138,2,B
u00000139,2,B
u00000140,1,A
u00000141,2,A
u00000142,1,A
u00000143,1,B
u00000144,1,B
u00000145,2,B
u00000146,2,B
u00000147,2,B
u00000148,2,B
u00000149,1,A
u00000150,1,A
u00000151,1,B
u00000152,2,A
u00000153,1,B
u00000154,1,A
u00000155,2,B
u00000156,0,None
u00000157,2,A
u00000158,2,B
u00000159,0,None
u00000160,0,None
u00000161,2,A
u00000162,2,A
u00000163,2,B
u00000164,2,B
u00000165,0,None
u00000166,2,A
u00000167,0,None
u00000168,1,A
u00000169,0,None
u00000170,1,A
u00000171,0,None
u00000172,1,A
u00000173,1,B
u00000174,1,B
u00000175,1,A
u00000176,1,B
u00000177,0,None
u00000178,1,A
u00000179,1,A
u00000180,1,A
u00000181,0,None
u00000182,2,B
u00000183,1,A
u00000184,2,B
u00000185,1,B
u00000186,2,A
u00000187,2,B
u00000188,1,B
u00000189,1,A
u00000190,1,A
u00000191,1,B
u00000192,2,B
u00000193,1,A
u00000194,2,B
u00000195,2,B
u00000196,2,A
u00000197,1,A
u00000198,1,A
u00000199,0,None
u00000200,1,B
u00000201,1,A
u00000202,1,A
u00000203,1,A
u00000204,1,A
u00000205,1,B
u00000206,2,B
u00000207,2,B
u00000208,2,A
u00000209,1,A
u00000210,1,A
u00000211,0,None
u00000212,2,B
u00000213,2,B
u00000214,1,A
u00000215,1,B
u00000216,2,B
u00000217,1,B
u00000218,2,B
u00000219,1,B
u00000220,2,B
u00000221,0,None
u00000222,1,A
u00000223,1,B
u00000224,0,None
u00000225,0,None
u00000226,2,B
u00000227,2,B
u00000228,1,B
u00000229,1,A
u00000230,2,B
u00000231,1,B
u00000232,2,B
u00000233,1,B
u00000234,0,None
u00000235,2,B
u00000236,2,A
u00000237,1,B
u00000238,1,A
u00000239,1,B
u00000240,1,A
u00000241,0,None
u00000242,1,A
u00000243,1,A
u00000244,1,B
u00000245,2,A
u00000246,1,B
u00000247,1,A
u00000248,2,B
u00000249,2,B
u00000250,1,A
u00000251,1,A
u00000252,0,None
u00000253,2,B
u00000254,0,None
u00000255,2,B
u00000256,2,A
u00000257,2,A
u00000258,0,None
u00000259,2,B
u00000260,1,A
u00000261,1,A
u00000262,1,A
u00000263,1,A
u00000264,0,None
u00000265,1,A
u00000266,2,A
u00000267,2,B
u00000268,1,A
u00000269,1,B
u00000270,2,B
u00000271,2,A
u00000272,0,None
u00000273,1,A
u00000274,1,B
u00000275,2,A
u00000276,2,A
u00000277,1,A
u00000278,2,B
u00000279,0,None
u00000280,1,A
u00000281,2,A
u00000282,0,None
u00000283,1,B
u00000284,1,B
u00000285,2,B
u00000286,2,A
u00000287,1,A
u00000288,1,B
u00000289,2,B
u00000290,2,A
u00000291,0,None
u00000292,1,B
u00000293,1,A
u00000294,0,None
u00000295,1,A
u00000296,0,None
u00000297,1,A
u00000298,1,B
u00000299,1,B
u00000300,2,A
u00000301,2,B
u00000302,0,None
u00000303,2,B
u00000304,1,B
u00000305,1,B
u00000306,1,B
u00000307,2,A
u00000308,0,None
u00000309,2,A
u00000310,2,A
u00000311,1,A
u00000312,1,A
u00000313,1,B
u00000314,0,None
u00000315,0,None
u00000316,2,A
u00000317,2,B
u00000318,1,A
u00000319,2,A
u00000320,1,B
u00000321,0,None
u00000322,2,A
u00000323,0,None
u00000324,2,A
u00000325,1,A
u00000326,2,A
u00000327,1,A
u00000328,0,None
u00000329,1,B
u00000330,1,B
u00000331,0,None
u00000332,2,B
u00000333,1,A
u00000334,0,None
u00000335,0,None
u00000336,0,None
u00000337,0,None
u00000338,2,B
u00000339,0,None
u00000340,1,B
u00000341,0,None
u00000342,2,A
u00000343,1,B
u00000344,1,A
u00000345,2,A
u00000346,1,B
u00000347,2,A
u00000348,2,A
u00000349,1,A
u00000350,1,A
u00000351,1,A
u00000352,2,B
u00000353,1,B
u00000354,1,B
u00000355,2,B
u00000356,2,A
u00000357,2,B
u00000358,0,None
u00000359,2,B
u00000360,1,A
u00000361,0,None
u00000362,0,None
u00000363,2,A
u00000364,2,B
u00000365,0,None
u00000366,2,A
u00000367,2,A
u00000368,2,B
u00000369,2,B
u00000370,2,B
u00000371,1,A
u00000372,1,A
u00000373,1,B
u00000374,1,B
u00000375,0,None
u00000376,1,B
u00000377,1,B
u00000378,1,B
u00000379,2,A
u00000380,2,A
u00000381,1,B
u00000382,1,B
u00000383,1,A
u00000384,1,A
u00000385,0,None
u00000386,1,A
u00000387,1,B
u00000388,0,None
u00000389,1,B
u00000390,0,None
u00000391,1,B
u00000392,2,A
u00000393,2,B
u00000394,1,A
u00000395,2,B
u00000396,0,None
u00000397,1,B
u00000398,1,B
u00000399,2,A
u00000400,0,None
u00000401,0,None
u00000402,2,A
u00000403,2,B
u00000404,1,B
u00000405,0,None
u00000406,2,B
u00000407,0,None
u00000408,0,None
u00000409,1,A
u00000410,2,B
u00000411,0,None
u00000412,0,None
u00000413,2,B
u00000414,2,A
u00000415,2,B
u00000416,1,A
u00000417,2,A
u00000418,0,None
u00000419,0,None
u00000420,1,B
u00000421,0,None
u00000422,2,B
u00000423,2,A
u00000424,2,A
u00000425,2,B
u00000426,0,None
u00000427,2,B
u00000428,2,B
u00000429,2,B
u00000430,2,B
u00000431,0,None
u00000432,0,None
u00000433,1,A
u00000434,2,A
u00000435,1,A
u00000436,0,None
u00000437,1,A
u00000438,1,B
u00000439,2,A
u00000440,0,None
u00000441,0,None
u00000442,2,B
u00000443,1,B
u00000444,0,None
u00000445,2,A
u00000446,1,A
u00000447,1,A
u00000448,2,B
u00000449,2,A
u00000450,1,A
u00000451,2,A
u00000452,2,A
u00000453,2,A
u00000454,2,A
u00000455,2,B
u00000456,0,None
u00000457,2,B
u00000458,1,B
u00000459,1,A
u00000460,0,None
u00000461,1,B
u00000462,1,A
u00000463,0,None
u00000464,1,B
u00000465,1,B
u00000466,1,B
u00000467,1,A
u00000468,2,B
u00000469,2,A
u00000470,1,A
u00000471,1,A
u00000472,0,None
u00000473,1,B
u00000474,1,B
u00000475,2,B
u00000476,1,B
u00000477,2,A
u00000478,1,A
u00000479,1,B
u00000480,2,B
u00000481,1,A
u00000482,2,B
u00000483,0,None
u00000484,1,A
u00000485,2,B
u00000486,2,A
u00000487,0,None
u00000488,1,A
u00000489,0,None
u00000490,1,B
u00000491,2,B
u00000492,2,A
u00000493,1,A
u00000494,1,A
u00000495,1,B
u00000496,1,B
u00000497,1,B
u00000498,1,A
u00000499,2,A
u00000500,1,B
u00000501,2,B
u00000502,0,None
u00000503,2,A
u00000504,2,A
u00000505,1,B
u00000506,0,None
u00000507,2,B
u00000508,0,None
u00000509,1,B
u00000510,2,A
u00000511,2,A
u00000512,0,None
u00000513,1,A
u00000514,0,None
u00000515,0,None
u00000516,2,B
u00000517,1,A
u00000518,2,A
u00000519,1,B
u00000520,1,A
u00000521,2,A
u00000522,2,B
u00000523,1,A
u00000524,1,A
u00000525,1,B
u00000526,0,None
u00000527,2,A
u00000528,1,B
u00000529,2,A
u00000530,0,None
u00000531,1,B
u00000532,0,None
u00000533,2,A
u00000534,1,A
u00000535,0,None
u00000536,1,A
u00000537,2,A
u00000538,2,B
u00000539,2,A
u00000540,0,None
u00000541,1,A
u00000542,1,A
u00000543,1,A
u00000544,1,B
u00000545,1,A
u00000546,1,A
u00000547,2,B
u00000548,0,None
u00000549,2,A
u00000550,2,B
u00000551,1,B
u00000552,1,A
u00000553,0,None
u00000554,2,A
u00000555,2,A
u00000556,1,B
u00000557,0,None
u00000558,2,B
u00000559,1,B
u00000560,1,B
u00000561,0,None
u00000562,1,A
u00000563,1,A
u00000564,2,A
u00000565,2,A
u00000566,2,B
u00000567,1,B
u00000568,1,A
u00000569,2,A
u00000570,1,B
u00000571,1,B
u00000572,2,A
u00000573,1,A
u00000574,1,A
u00000575,1,B
u00000576,2,A
u00000577,0,None
u00000578,1,A
u00000579,2,A
u00000580,1,A
u00000581,0,None
u00000582,1,A
u00000583,2,B
u00000584,2,A
u00000585,2,A
u00000586,2,A
u00000587,2,B
u00000588,1,A
u00000589,2,B
u00000590,2,B
u00000591,0,None
u00000592,2,A
u00000593,2,A
u00000594,0,None
u00000595,2,B
u00000596,0,None
u00000597,2,A
u00000598,2,B
u00000599,2,B
u00000600,1,B
u00000601,2,A
u00000602,1,A
u00000603,1,B
u00000604,0,None
u00000605,2,A
u00000606,2,A
u00000607,2,A
u00000608,1,B
u00000609,2,B
u00000610,1,B
u00000611,1,B
u00000612,0,None
u00000613,0,None
u00000614,1,B
u00000615,1,B
u00000616,1,A
u00000617,2,B
u00000618,1,B
u00000619,2,B
u00000620,1,B
u00000621,2,B
u00000622,2,A
u00000623,0,None
u00000624,2,A
u00000625,2,A
u00000626,2,B
u00000627,2,A
u00000628,2,B
u00000629,1,A
u00000630,2,A
u00000631,1,A
u00000632,1,B
u00000633,2,B
u00000634,2,A
u00000635,0,None
u00000636,1,B
u00000637,0,None
u00000638,1,B
u00000639,2,B
u00000640,2,A
u00000641,2,B
u00000642,1,A
u00000643,2,A
u00000644,2,A
u00000645,1,B
u00000646,1,B
u00000647,1,A
u00000648,2,B
u00000649,2,B
u00000650,0,None
u00000651,1,A
u00000652,2,A
u00000653,1,B
u00000654,1,B
u00000655,2,B
u00000656,0,None
u00000657,2,B
u00000658,2,B
u00000659,1,B
u00000660,2,B
u00000661,2,B
u00000662,2,A
u00000663,1,B
u00000664,0,None
u00000665,1,B
u00000666,2,A
u00000667,2,A
u00000668,1,A
u00000669,1,B
u00000670,1,A
u00000671,0,None
u00000672,1,B
u00000673,1,A
u00000674,1,A
u00000675,1,B
u00000676,2,A
u00000677,1,B
u00000678,1,B
u00000679,2,A
u00000680,1,B
u00000681,2,A
u00000682,1,B
u00000683,1,A
u00000684,1,A
u00000685,1,A
u00000686,0,None
u00000687,1,B
u00000688,1,A
u00000689,1,A
u00000690,2,A
u00000691,1,B
u00000692,2,B
u00000693,1,B
u00000694,1,B
u00000695,1,A
u00000696,2,B
u00000697,1,B
u00000698,1,B
u00000699,2,A
u00000700,2,A
u00000701,1,B
u00000702,2,A
u00000703,2,B
u00000704,1,B
u00000705,2,B
u00000706,1,B
u00000707,2,B
u00000708,2,A
u00000709,2,B
u00000710,2,A
u00000711,2,B
u00000712,1,B
u00000713,0,None
u00000714,1,A
u00000715,1,B
u00000716,1,A
u00000717,2,B
u00000718,1,B
u00000719,1,B
u00000720,0,None
u00000721,0,None
u00000722,2,A
u00000723,1,B
u00000724,1,A
u00000725,1,A
u00000726,2,B
u00000727,1,A
u00000728,1,A
u00000729,1,B
u00000730,0,None
u00000731,1,A
u00000732,2,B
u00000733,1,B
u00000734,2,A
u00000735,2,B
u00000736,2,A
u00000737,2,B
u00000738,1,B
u00000739,0,None
u00000740,1,A
u00000741,1,A
u00000742,1,B
u00000743,2,A
u00000744,0,None
u00000745,2,A
u00000746,1,B
u00000747,1,A
u00000748,2,A
u00000749,2,B
u00000750,1,B
u00000751,0,None
u00000752,1,B
u00000753,1,B
u00000754,0,None
u00000755,1,B
u00000756,1,A
u00000757,2,A
u00000758,2,B
u00000759,2,A
u00000760,2,A
u00000761,1,B
u00000762,1,B
u00000763,2,B
u00000764,2,B
u00000765,2,B
u00000766,1,A
u00000767,2,B
u00000768,1,A
u00000769,1,B
u00000770,2,B
u00000771,1,A
u00000772,1,B
u00000773,2,A
u00000774,2,A
u00000775,1,B
u00000776,2,A
u00000777,0,None
u00000778,1,B
u00000779,0,None
u00000780,2,A
u00000781,0,None
u00000782,2,A
u00000783,1,B
u00000784,2,B
u00000785,1,A
u00000786,2,B
u00000787,2,B
u00000788,2,B
u00000789,2,A
u00000790,0,None
u00000791,1,A
u00000792,2,A
u00000793,1,A
u00000794,2,A
u00000795,1,B
u00000796,2,B
u00000797,2,B
u00000798,2,A
u00000799,1,A
u00000800,1,B
u00000801,0,None
u00000802,1,B
u00000803,1,A
u00000804,1,A
u00000805,0,None
u00000806,1,A
u00000807,0,None
u00000808,2,A
u00000809,1,B
u00000810,2,B
u00000811,0,None
u00000812,1,A
u00000813,0,None
u00000814,1,B
u00000815,1,A
u00000816,1,A
u00000817,1,A
u00000818,1,A
u00000819,2,B
u00000820,2,B
u00000821,0,None
u00000822,1,B
u00000823,1,B
u00000824,1,A
u00000825,1,B
u00000826,0,None
u00000827,1,A
u00000828,2,B
u00000829,0,None
u00000830,1,A
u00000831,0,None
u00000832,2,B
u00000833,2,B
u00000834,1,B
u00000835,2,A
u00000836,1,B
u00000837,1,B
u00000838,1,B
u00000839,2,A
u00000840,2,A
u00000841,2,A
u00000842,1,B
u00000843,2,B
u00000844,2,A
u00000845,2,B
u00000846,1,B
u00000847,0,None
u00000848,2,B
u00000849,2,A
u00000850,1,A
u00000851,2,A
u00000852,0,None
u00000853,2,A
u00000854,2,B
u00000855,0,None
u00000856,1,B
u00000857,2,B
u00000858,0,None
u00000859,0,None
u00000860,1,B
u00000861,2,B
u00000862,2,B
u00000863,1,A
u00000864,0,None
u00000865,2,B
u00000866,1,A
u00000867,1,B
u00000868,1,A
u00000869,0,None
u00000870,1,B
u00000871,1,B
u00000872,0,None
u00000873,1,B
u00000874,1,B
u00000875,2,B
u00000876,2,A
u00000877,1,B
u00000878,2,A
u00000879,1,A
u00000880,1,A
u00000881,1,B
u00000882,2,A
u00000883,2,B
u00000884,1,A
u00000885,2,A
u00000886,2,A
u00000887,2,A
u00000888,1,B
u00000889,0,None
u00000890,0,None
u00000891,2,B
u00000892,2,B
u00000893,2,A
u00000894,1,B
u00000895,0,None
u00000896,1,B
u00000897,1,B
u00000898,0,None
u00000899,0,None
u00000900,1,B
u00000901,1,B
u00000902,1,B
u00000903,2,B
u00000904,2,A
u00000905,2,A
u00000906,2,B
u00000907,2,A
u00000908,2,A
u00000909,1,A
u00000910,1,B
u00000911,1,A
u00000912,2,B
u00000913,1,B
u00000914,1,B
u00000915,2,B
u00000916,2,A
u00000917,2,B
u00000918,2,B
u00000919,1,A
u00000920,1,B
u00000921,1,A
u00000922,0,None
u00000923,1,B
u00000924,1,A
u00000925,2,B
u00000926,0,None
u00000927,2,A
u00000928,1,A
u00000929,2,B
u00000930,2,A
u00000931,1,A
u00000932,0,None
u00000933,1,B
u00000934,2,B
u00000935,0,None
u00000936,2,B
u00000937,2,B
u00000938,2,A
u00000939,2,B
u00000940,1,B
u00000941,0,None
u00000942,1,A
u00000943,2,B
u00000944,2,B
u00000945,2,B
u00000946,1,B
u00000947,2,B
u00000948,1,A
u00000949,2,B
u00000950,2,B
u00000951,1,A
u00000952,2,A
u00000953,2,A
u00000954,0,None
u00000955,2,A
u00000956,2,B
u00000957,1,A
u00000958,2,A
u00000959,1,B
u00000960,1,A
u00000961,1,B
u00000962,1,A
u00000963,1,B
u00000964,2,B
u00000965,0,None
u00000966,1,A
u00000967,1,B
u00000968,0,None
u00000969,2,B
u00000970,2,A
u00000971,0,None
u00000972,0,None
u00000973,1,B
u00000974,2,A
u00000975,1,B
u00000976,2,A
u00000977,2,A
u00000978,0,None
u00000979,2,B
u00000980,0,None
u00000981,1,A
u00000982,2,A
u00000983,2,B
u00000984,2,A
u00000985,2,A
u00000986,2,A
u00000987,1,A
u00000988,1,B
u00000989,1,B
u00000990,2,B
u00000991,2,A
u00000992,1,A
u00000993,1,B
u00000994,1,B
u00000995,1,A
u00000996,2,A
u00000997,1,B
u00000998,2,B
u00000999,1,A
u00001000,1,A
u00001001,2,B
u00001002,2,B
u00001003,0,None
u00001004,2,B
u00001005,2,B
u00001006,2,A
u00001007,0,None
u00001008,1,A
u00001009,2,B
u00001010,0,None
u00001011,1,A
u00001012,2,B
u00001013,2,B
u00001014,2,A
u00001015,2,A
u00001016,2,A
u00001017,1,B
u00001018,1,B
u00001019,2,A
u00001020,1,A
u00001021,2,A
u00001022,2,A
u00001023,2,A
u00001024,0,None
u00001025,1,B
u00001026,2,A
u00001027,0,None
u00001028,1,B
u00001029,2,A
u00001030,2,B
u00001031,2,B
u00001032,1,A
u00001033,1,B
u00001034,2,B
u00001035,1,A
u00001036,1,A
u00001037,0,None
u00001038,2,B
u00001039,2,B
u00001040,1,B
u00001041,2,A
u00001042,0,None
u00001043,2,B
u00001044,1,A
u00001045,1,A
u00001046,0,None
u00001047,1,B
u00001048,1,B
u00001049,2,A
u00001050,0,None
u00001051,1,B
u00001052,2,A
u00001053,2,A
u00001054,2,B
u00001055,1,B
u00001056,0,None
u00001057,2,A
u00001058,0,None
u00001059,2,B
u00001060,0,None
u00001061,1,A
u00001062,1,B
u00001063,2,B
u00001064,0,None
u00001065,2,A
u00001066,1,A
u00001067,1,A
u00001068,1,A
u00001069,2,A
u00001070,1,B
u00001071,0,None
u00001072,0,None
u00001073,0,None
u00001074,1,B
u00001075,2,A
u00001076,2,A
u00001077,2,B
u00001078,1,A
u00001079,0,None
u00001080,1,A
u00001081,2,B
u00001082,0,None
u00001083,2,A
u00001084,1,B
u00001085,1,B
u00001086,2,B
u00001087,0,None
u00001088,1,A
u00001089,0,None
u00001090,1,A
u00001091,2,A
u00001092,0,None
u00001093,2,B
u00001094,2,A
u00001095,0,None
u00001096,2,B
u00001097,2,B
u00001098,2,A
u00001099,0,None
u00001100,1,A
u00001101,0,None
u00001102,1,A
u00001103,1,B
u00001104,1,B
u00001105,1,A
u00001106,2,B
u00001107,1,B
u00001108,1,A
u00001109,1,B
u00001110,2,B
u00001111,2,B
u00001112,0,None
u00001113,1,B
u00001114,2,A
u00001115,1,A
u00001116,1,A
u00001117,2,B
u00001118,2,B
u00001119,1,B
u00001120,2,A
u00001121,1,B
u00001122,1,A
u00001123,0,None
u00001124,2,B
u00001125,2,A
u00001126,2,B
u00001127,0,None
u00001128,2,B
u00001129,1,B
u00001130,0,None
u00001131,0,None
u00001132,1,B
u00001133,1,A
u00001134,0,None
u00001135,1,A
u00001136,1,B
u00001137,0,None
u00001138,2,A
u00001139,1,A
u00001140,2,B
u00001141,0,None
u00001142,2,B
u00001143,2,A
u00001144,1,B
u00001145,1,B
u00001146,2,B
u00001147,1,A
u00001148,2,A
u00001149,2,A
u00001150,1,B
u00001151,0,None
u00001152,1,B
u00001153,2,A
u00001154,1,A
u00001155,2,A
u00001156,1,B
u00001157,0,None
u00001158,0,None
u00001159,2,B
u00001160,2,A
u00001161,0,None
u00001162,2,B
u00001163,0,None
u00001164,2,A
u00001165,2,A
u00001166,1,B
u00001167,2,A
u00001168,2,B
u00001169,0,None
u00001170,1,B
u00001171,1,A
u00001172,1,A
u00001173,1,B
u00001174,1,B
u00001175,2,A
u00001176,0,None
u00001177,1,B
u00001178,1,A
u00001179,1,B
u00001180,1,B
u00001181,2,A
u00001182,1,B
u00001183,1,B
u00001184,1,A
u00001185,1,B
u00001186,1,A
u00001187,0,None
u00001188,1,A
u00001189,0,None
u00001190,0,None
u00001191,2,B
u00001192,1,B
u00001193,2,A
u00001194,2,B
u00001195,2,B
u00001196,2,A
u00001197,1,A
u00001198,0,None
u00001199,1,B
u00001200,2,A
u00001201,1,B
u00001202,2,B
u00001203,1,A
u00001204,0,None
u00001205,1,B
u00001206,2,B
u00001207,2,A
u00001208,2,B
u00001209,1,B
u00001210,0,None
u00001211,0,None
u00001212,2,B
u00001213,0,None
u00001214,1,B
u00001215,1,B
u00001216,0,None
u00001217,0,None
u00001218,2,B
u00001219,1,B
u00001220,2,A
u00001221,2,A
u00001222,1,A
u00001223,1,A
u00001224,2,B
u00001225,0,None
u00001226,0,None
u00001227,1,A
u00001228,2,A
u00001229,0,None
u00001230,1,A
u00001231,1,B
u00001232,0,None
u00001233,1,B
u00001234,0,None
u00001235,1,B
u00001236,1,B
u00001237,1,B
u00001238,2,A
u00001239,1,B
u00001240,2,A
u00001241,2,A
u00001242,0,None
u00001243,2,A
u00001244,0,None
u00001245,1,B
u00001246,1,B
u00001247,1,A
u00001248,0,None
u00001249,1,B
u00001250,2,B
u00001251,2,A
u00001252,1,B
u00001253,2,B
u00001254,0,None
u00001255,1,A
u00001256,2,A
u00001257,1,A
u00001258,1,B
u00001259,1,B
u00001260,2,B
u00001261,1,B
u00001262,1,B
u00001263,2,B
u00001264,1,A
u00001265,2,B
u00001266,0,None
u00001267,1,A
u00001268,0,None
u00001269,2,A
u00001270,2,A
u00001271,1,A
u00001272,1,B
u00001273,0,None
u00001274,1,A
u00001275,0,None
u00001276,2,A
u00001277,2,A
u00001278,1,B
u00001279,2,B
u00001280,1,A
u00001281,2,A
u00001282,0,None
u00001283,1,A
u00001284,2,B
u00001285,2,A
u00001286,1,B
u00001287,2,A
u00001288,1,B
u00001289,1,B
u00001290,1,B
u00001291,0,None
u00001292,1,B
u00001293,1,B
u00001294,0,None
u00001295,0,None
u00001296,2,A
u00001297,1,B
u00001298,2,B
u00001299,2,B
u00001300,0,None
u00001301,2,B
u00001302,1,A
u00001303,1,A
u00001304,0,None
u00001305,0,None
u00001306,1,B
u00001307,2,A
u00001308,1,A
u00001309,0,None
u00001310,0,None
u00001311,2,A
u00001312,0,None
u00001313,1,A
u00001314,1,A
u00001315,1,B
u00001316,0,None
u00001317,1,A
u00001318,1,A
u00001319,0,None
u00001320,1,B
u00001321,0,None
u00001322,1,A
u00001323,0,None
u00001324,2,A
u00001325,1,A
u00001326,0,None
u00001327,2,B
u00001328,1,B
u00001329,2,A
u00001330,2,B
u00001331,2,A
u00001332,0,None
u00001333,1,A
u00001334,1,A
u00001335,1,A
u00001336,2,A
u00001337,2,A
u00001338,2,A
u00001339,0,None
u00001340,2,A
u00001341,2,B
u00001342,1,A
u00001343,2,B
u00001344,0,None
u00001345,2,A
u00001346,1,A
u00001347,2,A
u00001348,1,A
u00001349,0,None
u00001350,2,A
u00001351,2,B
u00001352,2,A
u00001353,1,B
u00001354,0,None
u00001355,1,A
u00001356,2,B
u00001357,0,None
u00001358,1,A
u00001359,1,B
u00001360,1,A
u00001361,1,A
u00001362,2,A
u00001363,2,A
u00001364,2,B
u00001365,0,None
u00001366,0,None
u00001367,0,None
u00001368,1,B
u00001369,0,None
u00001370,0,None
u00001371,1,B
u00001372,1,A
u00001373,1,A
u00001374,2,B
u00001375,1,B
u00001376,1,A
u00001377,2,A
u00001378,2,B
u00001379,2,A
u00001380,1,A
u00001381,1,A
u00001382,2,A
u00001383,1,A
u00001384,2,B
u00001385,1,A
u00001386,2,A
u00001387,0,None
u00001388,1,B
u00001389,1,A
u00001390,1,B
u00001391,2,B
u00001392,2,B
u00001393,0,None
u00001394,0,None
u00001395,0,None
u00001396,2,A
u00001397,1,B
u00001398,1,A
u00001399,0,None
u00001400,0,None
u00001401,0,None
u00001402,2,A
u00001403,2,B
u00001404,2,A
u00001405,1,B
u00001406,0,None
u00001407,1,B
u00001408,1,B
u00001409,1,B
u00001410,0,None
u00001411,2,A
u00001412,2,A
u00001413,0,None
u00001414,1,B
u00001415,2,B
u00001416,2,A
u00001417,1,A
u00001418,0,None
u00001419,0,None
u00001420,1,B
u00001421,2,B
u00001422,1,A
u00001423,1,B
u00001424,1,B
u00001425,1,B
u00001426,2,B
u00001427,1,A
u00001428,2,B
u00001429,2,B
u00001430,1,A
u00001431,2,A
u00001432,2,B
u00001433,2,A
u00001434,1,A
u00001435,2,A
u00001436,1,B
u00001437,2,B
u00001438,1,B
u00001439,1,A
u00001440,2,B
u00001441,1,B
u00001442,2,A
u00001443,2,B
u00001444,2,B
u00001445,1,B
u00001446,2,B
u00001447,1,B
u00001448,2,A
u00001449,2,A
u00001450,1,A
u00001451,1,A
u00001452,1,B
u00001453,2,A
u00001454,2,B
u00001455,0,None
u00001456,1,B
u00001457,2,B
u00001458,1,A
u00001459,1,B
u00001460,2,A
u00001461,0,None
u00001462,1,A
u00001463,0,None
u00001464,0,None
u00001465,2,A
u00001466,2,B
u00001467,2,B
u00001468,0,None
u00001469,1,A
u00001470,1,A
u00001471,1,B
u00001472,2,B
u00001473,2,A
u00001474,1,B
u00001475,2,B
u00001476,2,B
u00001477,1,B
u00001478,1,B
u00001479,2,A
u00001480,2,A
u00001481,2,A
u00001482,0,None
u00001483,0,None
u00001484,1,A
u00001485,1,B
u00001486,1,A
u00001487,1,B
u00001488,1,A
u00001489,2,A
u00001490,1,B
u00001491,1,A
u00001492,2,B
u00001493,2,B
u00001494,0,None
u00001495,1,B
u00001496,1,B
u00001497,1,A
u00001498,1,A
u00001499,0,None
u00001500,1,B
u00001501,2,A
u00001502,1,A
u00001503,2,B
u00001504,2,B
u00001505,2,B
u00001506,2,A
u00001507,2,B
u00001508,2,A
u00001509,1,B
u00001510,2,B
u00001511,2,A
u00001512,0,None
u00001513,0,None
u00001514,0,None
u00001515,2,A
u00001516,2,B
u00001517,0,None
u00001518,2,A
u00001519,0,None
u00001520,2,B
u00001521,1,A
u00001522,1,B
u00001523,1,B
u00001524,2,B
